2026-01-30 11:43:16.462 [info] Reading sessions from keychain...
2026-01-30 11:43:16.462 [info] Got stored sessions!
2026-01-30 11:43:16.462 [info] Got 1 verified sessions.
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.462 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.462 [info] Got 1 sessions for ...
2026-01-30 11:43:16.504 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.504 [info] Got 1 sessions for ...
2026-01-30 11:43:16.508 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.508 [info] Got 1 sessions for ...
2026-01-30 11:43:16.508 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.508 [info] Got 1 sessions for ...
2026-01-30 11:43:16.508 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.508 [info] Got 1 sessions for ...
2026-01-30 11:43:16.508 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.508 [info] Got 1 sessions for ...
2026-01-30 11:43:16.509 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.509 [info] Got 1 sessions for ...
2026-01-30 11:43:16.523 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.523 [info] Got 1 sessions for ...
2026-01-30 11:43:16.545 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.546 [info] Got 1 sessions for ...
2026-01-30 11:43:16.831 [info] Getting sessions for all scopes...
2026-01-30 11:43:16.831 [info] Got 1 sessions for ...
2026-01-30 11:43:16.937 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-01-30 11:43:16.937 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-01-30 11:43:17.279 [info] Getting sessions for all scopes...
2026-01-30 11:43:17.279 [info] Got 1 sessions for ...
2026-01-30 11:43:17.280 [info] Getting sessions for all scopes...
2026-01-30 11:43:17.280 [info] Got 1 sessions for ...
2026-01-30 11:43:17.280 [info] Getting sessions for all scopes...
2026-01-30 11:43:17.280 [info] Got 1 sessions for ...
2026-01-30 11:43:17.590 [info] Getting sessions for read:user,repo,user:email,workflow...
2026-01-30 11:43:17.590 [info] Got 1 sessions for read:user,repo,user:email,workflow...
2026-01-30 11:43:18.005 [info] FetcherService: Electron fetch failed with status: 429 
2026-01-30 11:43:18.008 [info] Unable to resolve optional EDU details. Status: 429 
